datetime,currency,title,impact,forecast,previous,actual
2020-03-13 14:13,CAD,BOC Gov Poloz Speaks,High,,,
2020-03-13 15:30,USD,President Trump Speaks,High,,,
2020-03-15 00:00,NZD,RBNZ Rate Statement,High,,,
2020-03-15 15:00,NZD,Official Cash Rate,High,,1.00%,0.25%
2020-03-15 17:00,USD,Fed Announcement,High,,,
2020-03-15 17:17,USD,President Trump Speaks,High,,,
2020-03-15 17:30,NZD,BusinessNZ Services Index,Low,,57.2,52.0
2020-03-15 17:48,NZD,Visitor Arrivals m/m,Low,,0.4%,-0.6%
2020-03-15 18:00,NZD,RBNZ Press Conference,High,,,
2020-03-15 18:30,USD,FOMC Press Conference,High,,,
2020-03-15 19:50,JPY,Core Machinery Orders m/m,Low,-1.0%,-12.5%,2.9%
2020-03-15 20:01,GBP,Rightmove HPI m/m,Low,,0.8%,1.0%
2020-03-15 21:30,CNY,New Home Prices m/m,Low,,0.27%,0.02%
2020-03-15 22:00,CNY,Industrial Production y/y,High,-3.0%,6.9%,-13.5%
2020-03-15 22:01,CNY,NBS Press Conference,Low,,,
2020-03-16 00:00,CNY,Fixed Asset Investment ytd/y,Medium,-2.0%,5.4%,-24.5%
2020-03-16 00:00,CNY,Retail Sales y/y,Low,-4.0%,8.0%,-20.5%
2020-03-16 00:00,CNY,Unemployment Rate,Low,,5.2%,6.2%
2020-03-16 00:00,JPY,Monetary Policy Statement,High,,,
2020-03-16 00:00,USD,FOMC Statement,High,,,
2020-03-16 00:00,USD,Federal Funds Rate,High,,1.25%,<0.25%
2020-03-16 00:00,USD,TIC Long-Term Purchases,Low,72.5B,85.6B,20.9B
2020-03-16 01:06,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2020-03-16 03:00,JPY,BOJ Press Conference,Medium,,,
2020-03-16 03:30,CHF,PPI m/m,Low,0.2%,0.0%,-0.9%
2020-03-16 08:30,USD,Empire State Manufacturing Index,Medium,5.1,12.9,-21.5
2020-03-16 15:25,USD,President Trump Speaks,High,,,
2020-03-16 16:00,NZD,Westpac Consumer Sentiment,Low,,109.9,104.2
2020-03-16 16:29,All,G7 Meetings,High,,,
2020-03-16 16:29,EUR,Eurogroup Meetings,Low,,,
2020-03-16 20:30,AUD,Monetary Policy Meeting Minutes,High,,,
2020-03-17 00:00,AUD,HPI q/q,Medium,4.5%,2.4%,3.9%
2020-03-17 00:00,CAD,Foreign Securities Purchases,Low,-12.78B,-10.22B,17.01B
2020-03-17 00:00,EUR,ZEW Economic Sentiment,Low,-23.1,10.4,-49.5
2020-03-17 00:00,GBP,Claimant Count Change,Low,6.2K,-0.2K,17.3K
2020-03-17 00:00,GBP,Unemployment Rate,Low,3.8%,3.8%,3.9%
2020-03-17 00:00,USD,Core Retail Sales m/m,High,0.1%,0.6%,-0.4%
2020-03-17 00:00,USD,Industrial Production m/m,Low,0.4%,-0.5%,0.6%
2020-03-17 00:00,USD,JOLTS Job Openings,Low,6.40M,6.55M,6.96M
2020-03-17 00:00,USD,NAHB Housing Market Index,Low,74,74,72
2020-03-17 00:00,USD,Retail Sales m/m,High,0.2%,0.6%,-0.5%
2020-03-17 00:30,JPY,Revised Industrial Production m/m,Low,0.8%,0.8%,1.0%
2020-03-17 05:30,GBP,Average Earnings Index 3m/y,Medium,3.0%,2.9%,3.1%
2020-03-17 06:00,EUR,German ZEW Economic Sentiment,High,-29.7,8.7,-49.5
2020-03-17 06:30,GBP,30-y Bond Auction,Low,,1.25|1.7,1.03|2.1
2020-03-17 08:30,CAD,Manufacturing Sales m/m,Medium,-0.6%,-0.7%,-0.2%
2020-03-17 09:15,USD,Capacity Utilization Rate,Low,77.1%,76.6%,77.0%
2020-03-17 10:00,USD,Business Inventories m/m,Low,-0.1%,0.0%,-0.1%
2020-03-17 10:45,USD,Fed Announcement,High,,,
2020-03-17 11:01,NZD,GDT Price Index,Low,,-1.2%,-3.9%
2020-03-17 11:40,USD,President Trump Speaks,High,,,
2020-03-17 16:29,EUR,ECOFIN Meetings,Low,,,
2020-03-17 16:29,EUR,EU Economic Summit,High,,,
2020-03-17 17:45,NZD,Current Account,Low,-2.83B,-6.26B,-2.66B
2020-03-17 18:00,USD,Fed Announcement,High,,,
2020-03-17 19:30,AUD,MI Leading Index m/m,Low,,0.0%,-0.4%
2020-03-17 19:50,JPY,Trade Balance,Low,0.54T,-0.08T,0.50T
2020-03-17 20:30,AUD,Retail Sales m/m,High,0.4%,-0.3%,0.4%
2020-03-18 00:00,CAD,Core CPI m/m,Low,,0.4%,0.7%
2020-03-18 00:00,CAD,Median CPI y/y,Medium,2.2%,2.1%,2.1%
2020-03-18 00:00,CAD,Trimmed CPI y/y,Medium,2.1%,2.1%,2.0%
2020-03-18 00:00,EUR,Final CPI y/y,Low,1.2%,1.2%,1.2%
2020-03-18 00:00,EUR,Trade Balance,Low,19.3B,21.5B,17.3B
2020-03-18 00:00,USD,Building Permits,Medium,1.50M,1.55M,1.46M
2020-03-18 00:00,USD,Housing Starts,Low,1.51M,1.62M,1.60M
2020-03-18 06:00,EUR,Final Core CPI y/y,Low,1.2%,1.2%,1.2%
2020-03-18 06:03,EUR,Italian Trade Balance,Low,4.23B,5.01B,0.54B
2020-03-18 06:37,EUR,German 30-y Bond Auction,Low,,0.07|1.1,0.01|1.1
2020-03-18 08:30,CAD,CPI m/m,High,0.4%,0.3%,0.4%
2020-03-18 08:32,CAD,Common CPI y/y,Medium,1.8%,1.8%,1.8%
2020-03-18 10:30,USD,Crude Oil Inventories,Low,3.5M,7.7M,2.0M
2020-03-18 11:51,CAD,BOC Gov Poloz Speaks,High,,,
2020-03-18 12:07,USD,President Trump Speaks,High,,,
2020-03-18 17:45,NZD,GDP q/q,High,0.5%,0.8%,0.5%
2020-03-18 19:30,JPY,National Core CPI y/y,Low,0.6%,0.8%,0.6%
2020-03-18 19:50,JPY,Monetary Policy Meeting Minutes,Low,,,
2020-03-18 20:30,AUD,Employment Change,High,8.5K,12.9K,26.7K
2020-03-18 23:30,AUD,Cash Rate,High,,0.50%,0.25%
2020-03-19 00:00,AUD,RBA Bulletin,Low,,,
2020-03-19 00:00,AUD,RBA Rate Statement,High,,,
2020-03-19 00:00,AUD,Unemployment Rate,High,5.3%,5.3%,5.1%
2020-03-19 00:00,CAD,NHPI m/m,Low,0.2%,0.0%,0.4%
2020-03-19 00:00,CHF,SNB Policy Rate,High,-0.75%,-0.75%,-0.75%
2020-03-19 00:00,GBP,Asset Purchase Facility,Low,,435B,645B
2020-03-19 00:00,GBP,MPC Asset Purchase Facility Votes,Low,,0-0-9,9-0-0
2020-03-19 00:00,GBP,MPC Official Bank Rate Votes,High,,0-9-0,0-9-0
2020-03-19 00:00,GBP,Official Bank Rate,High,,0.25%,0.10%
2020-03-19 00:00,USD,Current Account,Low,-109B,-125B,-110B
2020-03-19 00:00,USD,Fed Announcement,High,,,
2020-03-19 00:00,USD,Natural Gas Storage,Low,-5B,-48B,-9B
2020-03-19 00:00,USD,Philly Fed Manufacturing Index,Medium,9.5,36.7,-12.7
2020-03-19 00:00,USD,Unemployment Claims,Medium,220K,211K,281K
2020-03-19 00:30,JPY,All Industries Activity m/m,Low,0.3%,-0.1%,0.8%
2020-03-19 01:00,AUD,RBA Gov Lowe Speaks,High,,,
2020-03-19 03:00,CHF,Trade Balance,Low,4.23B,4.77B,3.57B
2020-03-19 04:30,CHF,SNB Monetary Policy Assessment,High,,,
2020-03-19 05:00,EUR,German ifo Business Climate,High,,96.0,87.7
2020-03-19 05:15,CHF,SNB Press Conference,High,,,
2020-03-19 06:00,EUR,Spanish 10-y Bond Auction,Low,,0.17|1.4,0.66|2.2
